user_id,total_reviews,,user_id_scrapped
275437,490,,7301790
7391803,489,,613464
267600,489,,1765447
2980937,488,,1607304
1947815,488,,5860412
3929792,487,,814968
2847202,487,,726263
5643209,486,,358322
7857360,485,,8923727
7878381,485,,9062568
92056,484,,8666557
7996358,483,,6011849
7265326,483,,847455
1542132,483,,2673817
5101495,480,,746121
2183662,480,,1586461
6211040,479,,3162831
501971,478,,3818716
559167,478,,3047395
5430413,477,,4472641
4812900,477,,2804369
5074940,477,,1720306
9082155,477,,684208
4426246,476,,284285
780168,475,,230065
2459469,475,,1487936
258069,474,,201574
7118542,471,,5977865
6270518,471,,5801904
6915374,471,,2555125
2969156,470,,138213
1634411,470,,4768979
353682,470,,6838508
1857032,469,,7314055
4741925,468,,2878000
9297510,466,,5210877
6381823,466,,2257506
4064330,464,,8192706
241183,464,,5915763
1574263,463,,5852350
6078800,463,,3388075
8331037,462,,3768940
1854110,462,,1521801
4020069,462,,1070495
2181877,461,,1385518
6207198,461,,5244178
5786956,461,,1377326
3047454,460,,7971097
958187,459,,157126
2095009,458,,8259640
6230917,457,,1249767
7029671,457,,2322651
641241,456,,279596
3781253,455,,7390877
4831548,454,,5873017
210650,453,,8152813
47638,450,,924163
5642969,450,,3493240
4596519,448,,6780125
1187388,448,,901758
3824610,447,,9259555
6595232,446,,8704531
175742,446,,7272646
2624672,446,,3923160
4898286,445,,2507243
5242215,445,,1205801
3432610,445,,8941445
1180497,444,,5227895
2679341,443,,4234612
3982049,443,,82567
1309716,442,,3575857
551663,442,,2439094
4109510,441,,372332
7889711,440,,5244399
5730242,439,,5150572
4049747,438,,1602775
9191688,438,,207683
3337325,438,,1497745
657072,438,,5116437
212781,438,,5310779
2777935,437,,5678171
5783783,436,,2631068
6000426,436,,7431593
1852000,436,,2220621
2752944,436,,1744931
3505114,435,,8922470
395019,435,,65763
2896174,434,,8837303
3859632,434,,1628013
3097193,434,,8971466
3972813,434,,5873022
6055831,433,,1603829
3938236,433,,7355652
3850088,432,,3004837
1074534,431,,1969978
1220040,431,,1342808
731044,431,,1030601
5893347,430,,377237
4031017,430,,7094732
305893,430,,4942948
5895037,430,,8597200
4458396,430,,6363108
1358582,429,,236325
1774960,429,,5842620
8284847,429,,867546
1216424,428,,1283371
3999966,428,,1135354
872960,427,,6929191
178338,427,,877451
286958,427,,4319360
195857,427,,5345726
5009336,425,,7946743
1884982,425,,754491
8413280,424,,1662451
6316008,424,,6642767
819103,423,,253112
3348876,423,,1391754
1410180,422,,4323266
3769293,421,,5242117
8034370,420,,3997277
3736122,419,,221256
8642688,419,,2115470
3690882,418,,783700
4839917,417,,4598042
5389474,417,,4437857
4204126,416,,7947019
1217774,415,,4698361
8664631,414,,1001319
1540476,414,,2724572
2308591,412,,6124330
